Namespace(data_dir='../../datasets', dataset='ptc', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(19, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
124,9.584303013980389, @ 0:00:15.703020
125,8.591589517891407, @ 0:00:15.909469
126,8.472345769405365, @ 0:00:15.745912
127,10.604793205857277, @ 0:00:15.735926
128,8.085658773779869, @ 0:00:15.899495
129,7.7965776436030865, @ 0:00:15.890519
130,11.014414951205254, @ 0:00:15.860599
131,9.198692627251148, @ 0:00:15.732941
132,10.844776406884193, @ 0:00:15.740919
133,9.659674018621445, @ 0:00:16.528813
134,6.862142588943243, @ 0:00:16.112924
135,7.5691030360758305, @ 0:00:16.219639
136,10.49028616398573, @ 0:00:16.394174
137,9.534348733723164, @ 0:00:16.228615
138,10.611439123749733, @ 0:00:15.938390
139,9.512532502412796, @ 0:00:15.666119
140,10.649347677826881, @ 0:00:15.790786
141,9.541238658130169, @ 0:00:15.790787
142,8.019494824111462, @ 0:00:15.659137
143,7.156538777053356, @ 0:00:15.592316
144,7.829857990145683, @ 0:00:15.897503
145,9.835585951805115, @ 0:00:15.853616
146,8.115647360682487, @ 0:00:15.730946
147,7.158062420785427, @ 0:00:15.712993
148,9.472283534705639, @ 0:00:15.897501
149,12.093034572899342, @ 0:00:15.596306
150,10.786687955260277, @ 0:00:15.774828
151,9.806433692574501, @ 0:00:15.804748
152,7.704513147473335, @ 0:00:15.730946
153,7.193142082542181, @ 0:00:15.666119
154,10.703571140766144, @ 0:00:15.772834
155,10.055804625153542, @ 0:00:15.969309
156,8.033722639083862, @ 0:00:15.935398
157,8.536042645573616, @ 0:00:15.656146
158,7.5118993408977985, @ 0:00:15.833671
159,8.437471464276314, @ 0:00:15.898497
160,6.773363798856735, @ 0:00:15.682078
161,7.45334243401885, @ 0:00:15.761862
162,8.952604606747627, @ 0:00:15.832674
163,7.844121195375919, @ 0:00:15.784802
164,8.271310478448868, @ 0:00:15.793778
165,8.97340290248394, @ 0:00:15.715986
166,7.6729534193873405, @ 0:00:15.703020
167,9.320897050201893, @ 0:00:16.025159
168,6.451684981584549, @ 0:00:15.857608
169,8.265038020908833, @ 0:00:15.801755
170,9.507285431027412, @ 0:00:15.706013
171,10.279825888574123, @ 0:00:15.850625
172,6.4906463958323, @ 0:00:15.832675
173,8.748307824134827, @ 0:00:15.609270
174,9.824576787650585, @ 0:00:15.753885
175,9.84017364680767, @ 0:00:16.053085
176,6.821169052273035, @ 0:00:15.723964
177,7.549179717898369, @ 0:00:15.762861
178,8.552737534046173, @ 0:00:15.812727
179,7.840212434530258, @ 0:00:15.807740
180,8.163764141499996, @ 0:00:15.662130
181,7.7773453667759895, @ 0:00:15.665121
182,7.997526787221432, @ 0:00:16.180744
183,8.460935205221176, @ 0:00:16.045105
184,9.008494205772877, @ 0:00:15.564392
185,9.09295491874218, @ 0:00:15.869575
186,6.936024874448776, @ 0:00:15.865585
187,8.210571482777596, @ 0:00:15.573368
188,6.009859032928944, @ 0:00:15.690054
189,5.648876074701548, @ 0:00:15.800759
190,9.328940883278847, @ 0:00:15.882541
191,7.6368870213627815, @ 0:00:15.763857
192,9.41765122115612, @ 0:00:15.785800
193,7.265226915478706, @ 0:00:15.849629
194,8.492923341691494, @ 0:00:16.032140
195,7.379754912108183, @ 0:00:15.799762
196,8.584137074649334, @ 0:00:15.816716
197,8.405618369579315, @ 0:00:15.719976
198,6.555860862135887, @ 0:00:15.765852
199,10.358432307839394, @ 0:00:15.853617
200,8.812744170427322, @ 0:00:15.793778
201,7.493498735129833, @ 0:00:15.883539
202,7.477257866412401, @ 0:00:15.819708
203,10.052420198917389, @ 0:00:15.948364
204,11.043407954275608, @ 0:00:15.841650
205,7.30123370885849, @ 0:00:16.086994
206,7.399307563900948, @ 0:00:15.860598
207,9.325893595814705, @ 0:00:15.711000
208,8.698206394910812, @ 0:00:15.718978
209,7.427032105624676, @ 0:00:15.885533
210,7.8378962352871895, @ 0:00:15.726955
211,7.989249192178249, @ 0:00:15.779816
212,6.4774369820952415, @ 0:00:15.981276
213,7.133194711059332, @ 0:00:15.534472
214,5.567721091210842, @ 0:00:15.728950
215,7.542449049651623, @ 0:00:15.726957
216,7.136030588299036, @ 0:00:15.852620
217,7.7453358098864555, @ 0:00:15.541453
218,5.641020368784666, @ 0:00:15.692049
219,8.520086295902729, @ 0:00:15.738924
220,8.055230602622032, @ 0:00:15.840653
221,6.331305950880051, @ 0:00:15.586333
222,8.058255538344383, @ 0:00:15.705014
223,9.646053425967693, @ 0:00:15.637197
224,9.437300264835358, @ 0:00:15.855612
225,7.043934427201748, @ 0:00:15.673100
226,7.986351847648621, @ 0:00:15.690056
227,6.885834038257599, @ 0:00:15.775826
228,7.768747862428427, @ 0:00:15.775825
229,8.20089504122734, @ 0:00:15.749896
230,5.6968796998262405, @ 0:00:15.781809
231,8.824282325804234, @ 0:00:15.774829
232,6.561773829162121, @ 0:00:15.857607
233,8.762788027524948, @ 0:00:16.038124
234,9.487601928412914, @ 0:00:15.757874
235,7.931666448712349, @ 0:00:15.948365
236,9.30024404078722, @ 0:00:15.877554
237,8.52226559072733, @ 0:00:15.620241
238,5.222625099122524, @ 0:00:15.751890
239,5.725736264139414, @ 0:00:15.882541
240,6.629730109125376, @ 0:00:15.723964
241,6.469157990068197, @ 0:00:15.707009
242,5.662588868290186, @ 0:00:15.773832
243,11.485417373478413, @ 0:00:15.767847
244,7.557679899036884, @ 0:00:15.823697
245,8.299499750137329, @ 0:00:16.418109
246,7.332809269428253, @ 0:00:15.768846
247,9.29402094334364, @ 0:00:15.774827
248,5.944809876382351, @ 0:00:15.783804
249,6.897881627082825, @ 0:00:15.915453
250,8.82907584309578, @ 0:00:15.765852
251,7.705620490014553, @ 0:00:15.721970
252,6.115930620580912, @ 0:00:16.019175
253,6.742615718394518, @ 0:00:15.677089
254,7.724821101874113, @ 0:00:15.732941
255,7.712230551987886, @ 0:00:15.854615
256,7.81055586412549, @ 0:00:16.086994
257,5.913975648581982, @ 0:00:16.203682
258,8.441818878054619, @ 0:00:15.820709
259,10.181717574596405, @ 0:00:15.644174
260,7.313351146876812, @ 0:00:15.724962
261,6.446322426199913, @ 0:00:15.844642
262,6.5652430057525635, @ 0:00:15.808738
263,7.381140254437923, @ 0:00:15.841649
264,8.35319235920906, @ 0:00:15.708008
265,5.705260671675205, @ 0:00:15.763857
266,6.001015193760395, @ 0:00:15.858604
267,6.281777750700712, @ 0:00:15.630216
268,7.493138778954744, @ 0:00:15.877554
269,7.647470571100712, @ 0:00:15.976289
270,7.8215766698122025, @ 0:00:15.688061
271,6.107541266828775, @ 0:00:15.642183
272,7.7763027511537075, @ 0:00:15.873564
273,5.329656880348921, @ 0:00:15.700028
274,6.879142951220274, @ 0:00:15.668114
275,8.489641360938549, @ 0:00:15.958338
276,7.007493171840906, @ 0:00:15.770839
277,5.445067770779133, @ 0:00:15.729948
278,7.377420086413622, @ 0:00:15.711997
279,5.952814128249884, @ 0:00:15.763857
280,6.963154766708612, @ 0:00:15.652157
281,5.098770838230848, @ 0:00:15.752888
282,8.008178323507309, @ 0:00:15.830682
283,6.57271035015583, @ 0:00:15.670105
284,5.325792822986841, @ 0:00:15.732940
285,6.341501139104366, @ 0:00:15.966317
286,7.089440710842609, @ 0:00:15.844641
287,6.595814600586891, @ 0:00:15.650162
288,5.65606914460659, @ 0:00:15.731943
289,6.692531518638134, @ 0:00:15.734935
290,6.870494689792395, @ 0:00:15.679085
291,5.6385621428489685, @ 0:00:15.689058
292,5.664341617375612, @ 0:00:15.928417
293,6.206786260008812, @ 0:00:15.684071
294,5.80619229003787, @ 0:00:15.706013
295,5.693747196346521, @ 0:00:15.860598
296,7.949741557240486, @ 0:00:15.757875
297,6.326798815280199, @ 0:00:15.659137
298,5.712437909096479, @ 0:00:15.745906
299,6.514745764434338, @ 0:00:15.819709
300,5.507687106728554, @ 0:00:15.731943
301,5.017327610403299, @ 0:00:15.661132
302,5.1973070949316025, @ 0:00:15.652156
303,5.623742006719112, @ 0:00:15.612264
304,6.303463131189346, @ 0:00:15.811729
305,4.597012419253588, @ 0:00:15.556413
306,5.990208126604557, @ 0:00:15.872566
307,4.344372544437647, @ 0:00:15.630216
308,4.9415817484259605, @ 0:00:15.758871
309,4.510214086622, @ 0:00:16.254545
