Namespace(data_dir='../../datasets', dataset='aids700nef', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(29, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
123,5.249242298305035, @ 0:00:01.276097
124,4.675458651036024, @ 0:00:01.308426
125,6.819638889282942, @ 0:00:01.440535
126,3.5750982351601124, @ 0:00:01.942983
127,3.6956474650651217, @ 0:00:01.240768
128,7.6241567730903625, @ 0:00:01.277340
129,5.820363759994507, @ 0:00:01.364856
130,4.767796490341425, @ 0:00:01.205083
131,4.189907107502222, @ 0:00:01.236968
132,5.8244275860488415, @ 0:00:01.214207
133,4.321161191910505, @ 0:00:01.213224
134,4.473679699003696, @ 0:00:01.310958
135,4.529331345111132, @ 0:00:01.243116
136,5.905826576054096, @ 0:00:01.246467
137,4.375201649963856, @ 0:00:01.240060
138,5.306147038936615, @ 0:00:01.792392
139,6.019421853125095, @ 0:00:01.472638
140,4.66645322740078, @ 0:00:01.352166
141,4.1816155426204205, @ 0:00:01.310683
142,4.4464957900345325, @ 0:00:01.300699
143,4.373197443783283, @ 0:00:01.309499
144,4.849791992455721, @ 0:00:01.296085
145,4.763742443174124, @ 0:00:01.393877
146,4.160789772868156, @ 0:00:01.346923
147,4.587456118315458, @ 0:00:01.473058
148,4.0800184942781925, @ 0:00:01.366017
149,4.34501376003027, @ 0:00:01.326177
150,6.158838048577309, @ 0:00:01.311682
151,5.231544375419617, @ 0:00:01.319018
152,5.301365628838539, @ 0:00:01.368030
153,5.839074961841106, @ 0:00:01.330610
154,4.937345162034035, @ 0:00:01.373010
155,4.7783441841602325, @ 0:00:01.363721
156,4.7150831669569016, @ 0:00:01.408982
157,5.062189884483814, @ 0:00:01.291773
158,5.628680344671011, @ 0:00:01.315869
159,4.780534654855728, @ 0:00:01.275275
160,6.7077698186039925, @ 0:00:01.348075
161,5.405867006629705, @ 0:00:01.388645
162,5.495898425579071, @ 0:00:01.292566
163,6.469385698437691, @ 0:00:01.280532
164,3.4457200672477484, @ 0:00:01.366106
165,4.497783724218607, @ 0:00:01.470774
166,4.366687033325434, @ 0:00:01.338600
167,4.189476370811462, @ 0:00:01.352642
168,6.801473908126354, @ 0:00:01.330917
169,5.9410519897937775, @ 0:00:01.366564
170,5.21696824580431, @ 0:00:01.371700
171,4.876651335507631, @ 0:00:01.350377
172,5.55628165602684, @ 0:00:01.323225
173,4.20900946483016, @ 0:00:01.420956
174,4.786205943673849, @ 0:00:01.436875
175,4.468941129744053, @ 0:00:01.300284
176,3.7058801390230656, @ 0:00:01.378822
177,3.425226081162691, @ 0:00:01.299129
178,5.236894357949495, @ 0:00:01.342170
179,4.0436252020299435, @ 0:00:01.348749
180,4.639703780412674, @ 0:00:01.346083
181,4.584952723234892, @ 0:00:01.278903
182,4.506417084485292, @ 0:00:01.378984
183,4.857252351939678, @ 0:00:01.357531
184,4.51889680698514, @ 0:00:01.342777
185,3.77492792904377, @ 0:00:01.288971
186,4.836652893573046, @ 0:00:01.356835
187,3.7136569153517485, @ 0:00:01.287997
188,4.824220202863216, @ 0:00:01.302982
189,4.432165529578924, @ 0:00:01.289988
190,4.25416324287653, @ 0:00:01.276087
191,3.7984405644237995, @ 0:00:01.373211
192,3.928123041987419, @ 0:00:01.398784
193,4.074388649314642, @ 0:00:01.268741
194,4.420977085828781, @ 0:00:01.318268
195,4.764998331665993, @ 0:00:01.296021
196,3.745599649846554, @ 0:00:01.271650
197,4.949096590280533, @ 0:00:01.291255
198,4.858724307268858, @ 0:00:01.319147
199,4.33225417509675, @ 0:00:01.543929
200,3.9798258803784847, @ 0:00:01.436490
201,4.412843845784664, @ 0:00:01.489891
202,4.8661008477211, @ 0:00:01.308613
203,4.298971500247717, @ 0:00:01.395259
204,4.0190150029957294, @ 0:00:01.319953
205,4.297940991818905, @ 0:00:01.282617
206,4.935909062623978, @ 0:00:01.290835
207,4.867682699114084, @ 0:00:01.294549
208,4.164013545960188, @ 0:00:01.342951
209,5.101812072098255, @ 0:00:01.426881
210,6.240434478968382, @ 0:00:01.356941
211,4.264923743903637, @ 0:00:01.329016
212,4.693525843322277, @ 0:00:01.290896
213,3.7367925979197025, @ 0:00:01.272918
214,4.765822552144527, @ 0:00:01.285175
215,4.523787647485733, @ 0:00:01.324820
216,4.358056001365185, @ 0:00:01.287934
217,4.285277333110571, @ 0:00:01.350904
218,3.984893672168255, @ 0:00:01.388408
219,3.952557221055031, @ 0:00:01.346072
220,4.397070500999689, @ 0:00:01.291201
221,4.449616186320782, @ 0:00:01.301565
222,5.046278703957796, @ 0:00:01.311162
223,4.982117097824812, @ 0:00:01.345922
224,4.676181357353926, @ 0:00:01.321089
225,3.393721068277955, @ 0:00:01.323847
226,4.29790373891592, @ 0:00:01.306057
227,4.536794498562813, @ 0:00:01.418108
228,4.4687907211482525, @ 0:00:01.425587
229,3.976027015596628, @ 0:00:01.325807
230,4.647818859666586, @ 0:00:01.320377
231,5.44040696695447, @ 0:00:01.304399
232,3.878677263855934, @ 0:00:01.367878
233,4.592603072524071, @ 0:00:01.326387
234,4.578938707709312, @ 0:00:01.309515
235,5.029494874179363, @ 0:00:01.362038
236,4.4999015517532825, @ 0:00:01.425146
237,5.055321380496025, @ 0:00:01.366074
238,3.936843015253544, @ 0:00:01.274939
239,3.7388140335679054, @ 0:00:01.347688
240,5.692014005035162, @ 0:00:01.300417
241,4.406007006764412, @ 0:00:01.277423
242,3.808895591646433, @ 0:00:01.285401
243,3.702611429616809, @ 0:00:01.301521
244,4.486246965825558, @ 0:00:01.279602
245,3.6975699476897717, @ 0:00:01.462658
246,3.811498871073127, @ 0:00:01.349268
247,4.221619106829166, @ 0:00:01.302891
248,4.479777067899704, @ 0:00:01.292494
249,4.1846465319395065, @ 0:00:01.343489
250,3.8561138790100813, @ 0:00:01.269847
251,3.3334793988615274, @ 0:00:01.303319
252,3.2032979652285576, @ 0:00:01.307751
253,3.644462674856186, @ 0:00:01.305133
254,4.777937196195126, @ 0:00:01.482950
255,4.158984404057264, @ 0:00:01.430967
256,4.5927357859909534, @ 0:00:01.315077
257,4.311097785830498, @ 0:00:01.314486
258,3.774628508836031, @ 0:00:01.331714
259,3.754309145733714, @ 0:00:01.319759
260,4.405077081173658, @ 0:00:01.284752
261,4.22407453879714, @ 0:00:01.299043
262,4.104342777282, @ 0:00:01.330023
263,4.33407723903656, @ 0:00:01.420038
264,3.6224930081516504, @ 0:00:01.352906
265,3.59894335269928, @ 0:00:01.321210
