Namespace(data_dir='../../datasets', dataset='linux', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(1, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
120,1.0842162882909179, @ 0:00:01.231570
121,1.337759429588914, @ 0:00:01.290117
122,1.0189453605562449, @ 0:00:01.465895
123,1.269786269403994, @ 0:00:01.326998
124,1.2280467199161649, @ 0:00:01.309430
125,1.2597833992913365, @ 0:00:01.299985
126,1.0496207978576422, @ 0:00:01.215600
127,1.2388325994834304, @ 0:00:01.324146
128,1.2499616714194417, @ 0:00:01.228959
129,1.233768416568637, @ 0:00:01.303466
130,1.1412376770749688, @ 0:00:01.247683
131,1.1331125861033797, @ 0:00:01.312717
132,1.0927142575383186, @ 0:00:01.390919
133,1.2519151205196977, @ 0:00:01.196783
134,1.2897122651338577, @ 0:00:01.215589
135,1.2635757448151708, @ 0:00:01.224782
136,1.2220379430800676, @ 0:00:01.188194
137,1.0385876521468163, @ 0:00:01.214548
138,1.2270038714632392, @ 0:00:01.283031
139,1.015506568364799, @ 0:00:01.232415
140,1.1131864739581943, @ 0:00:01.358391
141,1.1086169397458434, @ 0:00:01.395293
142,1.1525211157277226, @ 0:00:01.166546
143,1.3137547066435218, @ 0:00:01.279503
144,1.19369279127568, @ 0:00:01.211136
145,0.9537292062304914, @ 0:00:01.248871
146,1.2130886316299438, @ 0:00:01.243182
147,1.3289189664646983, @ 0:00:01.167917
148,1.0246119927614927, @ 0:00:01.295562
149,1.3148003490641713, @ 0:00:01.257951
150,1.1764286318793893, @ 0:00:01.343565
151,1.0389055823907256, @ 0:00:01.326190
152,1.3025834923610091, @ 0:00:01.278668
153,0.9965472854673862, @ 0:00:01.342917
154,1.1216565035283566, @ 0:00:01.197798
155,1.038081245496869, @ 0:00:01.174859
156,1.3468369143083692, @ 0:00:01.422522
157,0.8938341634348035, @ 0:00:01.242018
158,1.1759665794670582, @ 0:00:01.318843
159,1.2649341952055693, @ 0:00:01.378289
160,1.1559083359315991, @ 0:00:01.311972
161,1.0536079062148929, @ 0:00:01.280792
162,1.2246789410710335, @ 0:00:01.271270
163,1.237415475770831, @ 0:00:01.209726
164,0.8473306661471725, @ 0:00:01.203031
165,1.174464006908238, @ 0:00:01.320276
166,1.2284411350265145, @ 0:00:01.193637
167,1.0557060595601797, @ 0:00:01.308096
168,1.3314440147951245, @ 0:00:01.339890
169,0.9473013342358172, @ 0:00:01.359107
170,1.170940580777824, @ 0:00:01.284819
171,1.194950076751411, @ 0:00:01.204651
172,1.3288446934893727, @ 0:00:01.267082
173,1.1525573208928108, @ 0:00:01.319837
174,1.1315788142383099, @ 0:00:01.255749
175,1.282918150536716, @ 0:00:01.257817
176,1.2510911328718066, @ 0:00:01.239129
177,1.11063988879323, @ 0:00:01.274832
178,1.2058133725076914, @ 0:00:01.388797
179,1.0111333103850484, @ 0:00:01.330415
180,1.1303700739517808, @ 0:00:01.228247
181,1.127355732023716, @ 0:00:01.240557
182,1.120588043704629, @ 0:00:01.225824
183,1.1305146617814898, @ 0:00:01.228354
184,1.1338561307638884, @ 0:00:01.276831
185,1.2338731903582811, @ 0:00:01.482459
186,1.1588253546506166, @ 0:00:01.389610
187,1.0943112429231405, @ 0:00:01.381077
188,1.2634380254894495, @ 0:00:01.239838
189,1.0460580233484507, @ 0:00:01.191284
190,0.8848788565956056, @ 0:00:01.238743
191,1.0131080634891987, @ 0:00:01.240965
192,1.0585119016468525, @ 0:00:01.257030
193,1.2773899361491203, @ 0:00:01.274427
194,1.2100626481696963, @ 0:00:01.166471
195,1.1665639467537403, @ 0:00:01.228207
196,1.138182356953621, @ 0:00:01.359019
197,1.0883432114496827, @ 0:00:01.385621
198,1.129765878431499, @ 0:00:01.206346
199,1.3641715049743652, @ 0:00:01.349232
200,1.1513582430779934, @ 0:00:01.253373
201,1.2198102194815874, @ 0:00:01.325445
202,1.1238479055464268, @ 0:00:01.248330
203,1.0764951584860682, @ 0:00:01.204850
204,1.2245713733136654, @ 0:00:01.221622
205,1.1016969801858068, @ 0:00:01.264479
206,1.0434833820909262, @ 0:00:01.376843
207,0.8466989384032786, @ 0:00:01.299053
208,1.1422435054555535, @ 0:00:01.251739
209,1.0093457531183958, @ 0:00:01.236600
210,1.0424250504001975, @ 0:00:01.273595
211,1.2475557159632444, @ 0:00:01.182216
212,1.231314497999847, @ 0:00:01.282891
213,1.3231311459094286, @ 0:00:01.266544
214,1.1597786797210574, @ 0:00:01.194157
215,1.010241685435176, @ 0:00:01.413753
216,1.0962230153381824, @ 0:00:01.350718
217,1.2871959479525685, @ 0:00:01.203921
218,1.3232023920863867, @ 0:00:01.203696
219,1.325391000136733, @ 0:00:01.457936
220,0.9666942059993744, @ 0:00:01.669989
221,1.1554498923942447, @ 0:00:01.673267
222,1.4404943212866783, @ 0:00:01.670442
223,1.0214080102741718, @ 0:00:01.680326
224,1.193240750581026, @ 0:00:01.287100
225,1.1334114242345095, @ 0:00:01.243855
226,1.0837740264832973, @ 0:00:01.265969
227,1.0568643920123577, @ 0:00:01.329991
228,1.0967421112582088, @ 0:00:01.247957
229,1.228585373610258, @ 0:00:01.180501
230,1.0568585712462664, @ 0:00:01.253813
231,1.0820758761838078, @ 0:00:01.237293
232,1.1205084156244993, @ 0:00:01.314514
233,1.052233623340726, @ 0:00:01.333009
234,1.1225391644984484, @ 0:00:01.242871
235,0.8535346714779735, @ 0:00:01.292460
236,1.2667372357100248, @ 0:00:01.224492
237,1.0038868058472872, @ 0:00:01.228025
238,0.9812678908929229, @ 0:00:01.348414
239,1.1145711177960038, @ 0:00:01.180312
240,1.0520160431042314, @ 0:00:01.300662
241,0.9781296830624342, @ 0:00:01.314850
242,0.9920226875692606, @ 0:00:01.316272
243,1.18282251060009, @ 0:00:01.188543
244,1.069774036295712, @ 0:00:01.300242
245,1.2029637582600117, @ 0:00:01.230126
246,1.361387548968196, @ 0:00:01.167077
247,1.178278005681932, @ 0:00:01.292540
248,1.1899175588041544, @ 0:00:01.173188
249,1.115711173042655, @ 0:00:01.190865
250,1.2670393334701657, @ 0:00:01.369191
251,0.981881283223629, @ 0:00:01.385761
252,1.2841197894886136, @ 0:00:01.370262
253,1.0462159989401698, @ 0:00:01.338190
254,1.3164505362510681, @ 0:00:01.302562
255,1.286397920921445, @ 0:00:01.381710
256,1.3116823974996805, @ 0:00:01.387433
257,1.2145168147981167, @ 0:00:01.253366
258,0.9886424522846937, @ 0:00:01.255620
259,1.0274490341544151, @ 0:00:01.212759
260,1.0245350422337651, @ 0:00:01.376933
261,1.0024193907156587, @ 0:00:01.369698
262,0.9558507008478045, @ 0:00:01.173682
263,1.0954170720651746, @ 0:00:01.296855
264,1.0396435391157866, @ 0:00:01.281133
265,1.24342180788517, @ 0:00:01.372873
266,1.2729119043797255, @ 0:00:01.211988
267,1.083063194528222, @ 0:00:01.273387
268,1.1799940839409828, @ 0:00:01.220986
269,1.092419377528131, @ 0:00:01.518939
270,0.9626186802051961, @ 0:00:01.379454
271,1.3690763153135777, @ 0:00:01.203203
272,0.9302889229729772, @ 0:00:01.244057
273,1.2058345600962639, @ 0:00:01.310033
274,1.1761332862079144, @ 0:00:01.209867
275,1.1503653367981315, @ 0:00:01.204385
276,1.2705170083791018, @ 0:00:01.293026
277,1.1228240327909589, @ 0:00:01.187936
278,1.2906031915917993, @ 0:00:01.383745
279,0.9669926948845387, @ 0:00:01.281872
